HomePlanet,CryoSleep,Destination,VIP,Deck,Side,Age_group,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Cabin_num,Group_size,Solo,Family_size,TotalSpending,HasSpending,NoSpending,Age_missing,CryoSleep_missing,RoomService_ratio,FoodCourt_ratio,ShoppingMall_ratio,Spa_ratio,VRDeck_ratio,Transported
1,0,2,0,1,0,0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
0,0,2,0,5,1,4,24.0,109.0,9.0,25.0,549.0,44.0,0.0,1,1,4,736.0,1,0,0,0,0.14789687924016282,0.012211668928086838,0.033921302578018994,0.7449118046132972,0.05970149253731343,1
1,0,2,1,0,1,2,58.0,43.0,3576.0,0.0,6715.0,49.0,0.0,2,0,6,10383.0,1,0,0,0,0.0041409861325115566,0.3443759630200308,0.0,0.6466679506933745,0.004718798151001541,0
1,0,2,0,0,1,0,33.0,0.0,1283.0,371.0,3329.0,193.0,0.0,2,0,6,5176.0,1,0,0,0,0.0,0.24782692679157814,0.07166312536217886,0.6430365076299015,0.03728027815337068,0
0,0,2,0,5,1,3,16.0,303.0,70.0,151.0,565.0,2.0,1.0,1,1,6,1091.0,1,0,0,0,0.2774725274725275,0.0641025641025641,0.1382783882783883,0.5173992673992674,0.0018315018315018315,1
0,0,1,0,5,0,0,44.0,0.0,483.0,0.0,291.0,0.0,0.0,1,1,7,774.0,1,0,0,0,0.0,0.6232258064516129,0.0,0.37548387096774194,0.0,1
0,0,2,0,5,1,4,26.0,42.0,1539.0,3.0,0.0,0.0,2.0,2,0,7,1584.0,1,0,0,0,0.026498422712933754,0.9709779179810726,0.0018927444794952682,0.0,0.0,1
0,1,2,0,6,1,4,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,7,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1
0,0,2,0,5,1,0,35.0,0.0,785.0,17.0,216.0,0.0,3.0,1,1,5,1018.0,1,0,0,0,0.0,0.7703631010794897,0.016683022571148183,0.21197252208047104,0.0,1
1,1,0,0,1,0,3,14.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,3,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1
1,1,2,0,1,0,0,34.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,3,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1
1,0,0,0,1,0,0,45.0,39.0,7295.0,589.0,110.0,124.0,1.0,3,0,3,8157.0,1,0,0,0,0.0047805834763422405,0.8942142682029909,0.07219906839911742,0.013483696984555038,0.015199803873498407,1
2,0,2,0,5,0,0,32.0,73.0,0.0,1123.0,0.0,113.0,1.0,1,1,4,1309.0,1,0,0,0,0.055725190839694655,0.0,0.8572519083969465,0.0,0.08625954198473282,1
0,0,2,0,6,1,0,48.0,719.0,1.0,65.0,0.0,24.0,1.0,1,1,5,809.0,1,0,0,0,0.8876543209876543,0.0012345679012345679,0.08024691358024691,0.0,0.02962962962962963,0
0,0,2,0,5,0,4,28.0,8.0,974.0,12.0,2.0,7.0,2.0,1,1,4,1003.0,1,0,0,0,0.00796812749003984,0.9701195219123506,0.01195219123505976,0.00199203187250996,0.0069721115537848604,1
0,0,2,0,8,2,0,31.0,32.0,0.0,876.0,0.0,0.0,-1.0,1,1,7,908.0,1,0,0,0,0.0352035203520352,0.0,0.9636963696369637,0.0,0.0,0
2,0,0,0,5,0,4,27.0,1286.0,122.0,0.0,0.0,0.0,3.0,1,1,1,1408.0,1,0,0,0,0.9127040454222853,0.08658623136976579,0.0,0.0,0.0,0
0,0,0,0,5,0,4,24.0,0.0,1.0,0.0,0.0,637.0,4.0,1,1,7,638.0,1,0,0,0,0.0,0.001564945226917058,0.0,0.0,0.9968701095461658,0
